triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_IN', 'Havana');True;[('María Payá Acevedo', 'BORN_IN', 'Havana')];True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'place of birth', 'Havana'), ('María Payá Acevedo', 'EDUCATED_AT', 'University of Havana'), ('María Payá Acevedo', 'educated at', 'University of Havana')]
('Rosa María Payá Acevedo', 'HAS_NATIONALITY', 'Havana');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'place of birth', 'Havana'), ('María Payá Acevedo', 'HAS_NATIONALITY', 'Cuba'), ('María Payá Acevedo', 'EDUCATED_AT', 'University of Havana'), ('María Payá Acevedo', 'educated at', 'University of Havana')]
('Rosa María Payá Acevedo', 'HAS_OCCUPATION', 'None');False;;True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'human rights activist'), ('María Payá Acevedo', 'occupation', 'human rights activist')]
('Rosa María Payá Acevedo', 'LIVES_IN', 'Miami');False;;False;
('Rosa María Payá Acevedo', 'PARTICIPATES_IN', 'Death of Oswaldo Payá');False;;True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_SURNAME', 'Payá'), ('María Payá Acevedo', 'family name', 'Payá')]
('Oswaldo Payá', 'HAS_OCCUPATION', 'None');False;;True;[('Oswaldo Payá', 'HAS_OCCUPATION', 'politician'), ('Oswaldo Payá', 'occupation', 'politician'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'human rights activist'), ('Oswaldo Payá', 'occupation', 'human rights activist'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'founder'), ('Oswaldo Payá', 'occupation', 'founder')]
('Oswaldo Payá', 'MEMBER_OF', 'None');False;;False;
('The Yser Testament', 'AUTHORED', 'King Albert I');False;;False;
('The Yser Testament', 'OCCURS_IN', 'World War I');False;;True;[('Yser Testament', 'description', 'Open letter during World War I')]
('Yser Front', 'LOCATED_IN', 'Belgium');False;;False;
('Frontbeweging', 'PART_OF', 'World War I');False;;False;
('Flanders', 'LOCATED_IN', 'Belgium');False;;False;
('Armand De Ceuninck', 'HAS_OCCUPATION', 'Belgium');False;;True;[('Armand De Ceuninck', 'HAS_NATIONALITY', 'Belgium'), ('Armand De Ceuninck', 'country of citizenship', 'Belgium'), ('Armand De Ceuninck', 'HAS_POSITION', 'Minister of Defence of Belgium'), ('Armand De Ceuninck', 'position held', 'Minister of Defence of Belgium'), ('Armand De Ceuninck', 'HAS_OCCUPATION', 'politician'), ('Armand De Ceuninck', 'occupation', 'politician'), ('Armand De Ceuninck', 'HAS_OCCUPATION', 'military officer'), ('Armand De Ceuninck', 'occupation', 'military officer'), ('Armand De Ceuninck', 'description', 'Belgium Army general and Minister of Defence (1858–1935)')]
('Clifton Hurburgh', 'BORN_ON', '15/01/1917');True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')];True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')]
('Clifton Hurburgh', 'DIED_ON', '30/07/2011');True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')];True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')]
('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian');True;[('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian')];True;[('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian'), ('Clifton Hurburgh', 'country of citizenship', 'Australia'), ('Clifton Hurburgh', 'description', 'Australian cricketer (1917-2011)')]
('Cliff Richard', 'CREATED', 'Wired for Sound');False;;False;
('Cliff Richard', 'PERFORMED', 'Wired for Sound');False;;False;
('Alan Tarney', 'AUTHORED', 'Wired for Sound');False;;False;
('B.A. Robertson', 'AUTHORED', 'Wired for Sound');False;;False;
('Wired for Sound', 'LOCATED_IN', 'Milton Keynes Shopping Centre');False;;False;
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County, New York');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney')]
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County, New York');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney')]
('Florence White', 'MEMBER_OF', 'Society of Lady Artists');False;;False;
('Florence White', 'INCLUDED_IN', 'Women Painters of the World');False;;True;[('Florence White', 'HAS_OCCUPATION', 'painter'), ('Florence White', 'occupation', 'painter'), ('Florence White', 'DESCRIBED_BY', 'Women Painters of the World'), ('Florence White', 'described by source', 'Women Painters of the World'), ('Florence White', 'HAS_OCCUPATION', 'painter'), ('Florence White', 'occupation', 'painter'), ('Florence White', 'DESCRIBED_BY', 'Women Painters of the World'), ('Florence White', 'described by source', 'Women Painters of the World')]
('Jake Fenlason', 'BORN_IN', 'San Diego');True;[('Jake Fenlason', 'BORN_IN', 'San Diego')];True;[('Jake Fenlason', 'BORN_IN', 'San Diego'), ('Jake Fenlason', 'place of birth', 'San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'member of sports team', 'San Diego Loyal SC')]
('Jake Fenlason', 'BORN_ON', '02/02/1993');True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')];True;[('Jake Fenlason', 'BORN_ON', '02/02/1993')]
('Jake Fenlason', 'HAS_OCCUPATION', 'Jake Fenlason');False;;True;[('Jake Fenlason', 'HAS_OCCUPATION', 'association football player'), ('Jake Fenlason', 'occupation', 'association football player'), ('Jake Fenlason', 'HAS_SURNAME', 'Fenlason'), ('Jake Fenlason', 'family name', 'Fenlason'), ('Jake Fenlason', 'given name', 'Jake'), ('Jake Fenlason', 'label', 'Jake Fenlason')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Jonathan Rosand');False;;True;[('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand')]
('Jonathan Rosand', 'HAS_OCCUPATION', 'Jonathan Rosand');False;;True;[('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand'), ('Jonathan Rosand', 'WRITTEN_BY', 'Jonathan Rosand'), ('Jonathan Rosand', 'author', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand '), ('Jonathan Rosand', 'HAS_OCCUPATION', 'neurologist'), ('Jonathan Rosand', 'occupation', 'neurologist'), ('Jonathan Rosand', 'HAS_OCCUPATION', 'researcher'), ('Jonathan Rosand', 'occupation', 'researcher'), ('Jonathan Rosand', 'HAS_SURNAME', 'Rosand'), ('Jonathan Rosand', 'family name', 'Rosand'), ('Jonathan Rosand', 'given name', 'Jonathan'), ('Jonathan Rosand', 'label', 'Jonathan Rosand'), ('Jonathan Rosand', 'title', 'Jonathan Rosand')]
