triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_IN', 'Havana');True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Havana')];True;[('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'subject', 'People from Havana'), ('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba')]
('Rosa María Payá Acevedo', 'HAS_NATIONALITY', 'Havana');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'subject', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba')]
('Rosa María Payá Acevedo', 'HAS_OCCUPATION', 'None');False;;True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'Human rights activist')]
('Rosa María Payá Acevedo', 'LIVES_IN', 'Miami');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Miami')]
('Rosa María Payá Acevedo', 'PARTICIPATES_IN', 'Death of Oswaldo Payá');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá')]
('Oswaldo Payá', 'HAS_OCCUPATION', 'None');False;;True;[('Oswaldo Payá', 'HAS_OCCUPATION', 'Varela Project, opposition to Cuban Communist Party'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Engineer'), ('Oswaldo Payá', 'occupation', 'Engineer'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Varela Project'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Cuban Communist Party'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Oswaldo Payá  PersonFunction  1'), ('Oswaldo Payá', 'occupation', 'Oswaldo Payá  PersonFunction  1')]
('Oswaldo Payá', 'MEMBER_OF', 'None');False;;False;
('The Yser Testament', 'AUTHORED', 'King Albert I');False;;False;
('The Yser Testament', 'OCCURS_IN', 'World War I');False;;True;[('Yser Testament', 'subject', 'Belgium in World War I'), ('Yser Testament', 'wikiPageWikiLink', 'Belgium in World War I'), ('Yser Testament', 'wikiPageWikiLink', 'German occupation of Belgium during World War I'), ('Yser Testament', 'wikiPageWikiLink', 'http://dbpedia.org/resource/World War I')]
('Yser Front', 'LOCATED_IN', 'Belgium');False;;False;
('Frontbeweging', 'PART_OF', 'World War I');False;;False;
('Flanders', 'LOCATED_IN', 'Belgium');False;;False;
('Armand De Ceuninck', 'HAS_OCCUPATION', 'Belgium');False;;True;[('Armand De Ceuninck', 'type', 'WikicatCountsOfBelgium'), ('Armand De Ceuninck', 'type', 'WikicatGrandOfficersOfTheOrderOfTheCrown(Belgium)'), ('Armand De Ceuninck', 'BORN_IN', 'Belgium'), ('Armand De Ceuninck', 'birthPlace', 'Belgium'), ('Armand De Ceuninck', 'DIED_IN', 'Belgium'), ('Armand De Ceuninck', 'deathPlace', 'Belgium'), ('Armand De Ceuninck', 'DIED_IN', 'Belgium'), ('Armand De Ceuninck', 'deathPlace', 'Belgium'), ('Armand De Ceuninck', 'BORN_IN', 'Belgium'), ('Armand De Ceuninck', 'birthPlace', 'Belgium'), ('Armand De Ceuninck', 'subject', 'Recipients of the Croix de guerre (Belgium)'), ('Armand De Ceuninck', 'subject', 'Counts of Belgium'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Royal Military Academy (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Military Cross (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Belgium'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Order of the Crown (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Ministry of Defence (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Albert I of Belgium'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Recipients of the Croix de guerre (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Counts of Belgium'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Order of Leopold (Belgium)'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'War Cross (Belgium)'), ('Armand De Ceuninck', 'monarch', 'Albert I of Belgium'), ('Armand De Ceuninck', 'office', 'Ministry of Defence (Belgium)')]
('Clifton Hurburgh', 'BORN_ON', '15/01/1917');True;[('Clifton Hurburgh', 'BORN_ON', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917')];True;[('Clifton Hurburgh', 'BORN_IN', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917'), ('Clifton Hurburgh', 'BORN_IN', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917')]
('Clifton Hurburgh', 'DIED_ON', '30/07/2011');True;[('Clifton Hurburgh', 'DIED_ON', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011')];True;[('Clifton Hurburgh', 'DIED_IN', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011'), ('Clifton Hurburgh', 'DIED_IN', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011')]
('Clifton Hurburgh', 'HAS_NATIONALITY', 'Australian');False;;True;[('Clifton Hurburgh', 'subject', 'Australian cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Australian cricketers')]
('Cliff Richard', 'CREATED', 'Wired for Sound');False;;False;
('Cliff Richard', 'PERFORMED', 'Wired for Sound');False;;False;
('Alan Tarney', 'AUTHORED', 'Wired for Sound');False;;False;
('B.A. Robertson', 'AUTHORED', 'Wired for Sound');False;;False;
('Wired for Sound', 'LOCATED_IN', 'Milton Keynes Shopping Centre');False;;True;[('Wired for Sound (song)', 'wikiPageWikiLink', 'Milton Keynes Shopping Centre'), ('Wired for Sound', 'wikiPageWikiLink', 'Milton Keynes')]
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County, New York');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney Rd., near Copenhagen, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Copenhagen, New York'), ('Pinckney Corners Cemetery', 'subject', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'subject', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney Rd., near Copenhagen, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Copenhagen, New York'), ('Pinckney Corners Cemetery', 'subject', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'subject', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places in Lewis County, New York')]
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County, New York');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney Rd., near Copenhagen, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Copenhagen, New York'), ('Pinckney Corners Cemetery', 'subject', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'subject', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney Rd., near Copenhagen, New York'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Copenhagen, New York'), ('Pinckney Corners Cemetery', 'subject', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'subject', 'National Register of Historic Places in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Buildings and structures in Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'Lewis County, New York'), ('Pinckney Corners Cemetery', 'wikiPageWikiLink', 'National Register of Historic Places in Lewis County, New York')]
('Florence White', 'MEMBER_OF', 'Society of Lady Artists');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'Society of Lady Artists')]
('Florence White', 'INCLUDED_IN', 'Women Painters of the World');False;;True;[('Florence White (painter)', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Women Painters of the World')]
('Jake Fenlason', 'BORN_IN', 'San Diego');True;[('Jake Fenlason', 'BORN_IN', 'San Diego, California, United States'), ('Jake Fenlason', 'BORN_IN', 'San Diego, California')];True;[('Jake Fenlason', 'BORN_IN', 'San Diego, California, United States'), ('Jake Fenlason', 'birthPlace', 'San Diego, California, United States'), ('Jake Fenlason', 'BORN_IN', 'San Diego, California'), ('Jake Fenlason', 'birthPlace', 'San Diego, California'), ('Jake Fenlason', 'BORN_IN', '1993'), ('Jake Fenlason', 'subject', 'San Diego Loyal SC players'), ('Jake Fenlason', 'subject', 'Soccer players from San Diego'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego, California'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC'), ('Jake Fenlason', 'BORN_IN', '1993'), ('Jake Fenlason', 'wikiPageWikiLink', 'San Diego Loyal SC players'), ('Jake Fenlason', 'wikiPageWikiLink', 'Soccer players from San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'clubs', 'San Diego Loyal SC'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'team', 'San Diego Loyal SC')]
('Jake Fenlason', 'BORN_ON', '02/02/1993');True;[('Jake Fenlason', 'BORN_ON', '1993'), ('Jake Fenlason', 'BORN_ON', '1993')];True;[('Jake Fenlason', 'OCCURRED_IN', '1993'), ('Jake Fenlason', 'OCCURRED_IN', '1993'), ('Jake Fenlason', 'BORN_IN', '1993'), ('Jake Fenlason', 'BORN_ON', '1993'), ('Jake Fenlason', 'BORN_IN', '1993'), ('Jake Fenlason', 'BORN_ON', '1993')]
('Jake Fenlason', 'HAS_OCCUPATION', 'Jake Fenlason');False;;True;[('Jake Fenlason', 'label', 'Jake Fenlason'), ('Jake Fenlason', 'name', 'Jake Fenlason'), ('Jake Fenlason', 'name', 'Jake Fenlason'), ('Jake Fenlason', 'sameAs', 'Jake Fenlason'), ('Jake Fenlason', 'sameAs', 'Jake Fenlason'), ('Jake Fenlason', 'careerStation', 'Jake Fenlason  CareerStation  1'), ('Jake Fenlason', 'careerStation', 'Jake Fenlason  CareerStation  2'), ('Jake Fenlason', 'careerStation', 'Jake Fenlason  CareerStation  3'), ('Jake Fenlason', 'wasDerivedFrom', 'Jake Fenlason?oldid=1057572641&ns=0'), ('Jake Fenlason', 'isPrimaryTopicOf', 'Jake Fenlason')]
