triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_ON', '22/07/2012');False;;True;[('María Payá Acevedo', 'OCCURRED_IN', '2012'), ('María Payá Acevedo', 'OCCURRED_IN', '2012'), ('María Payá Acevedo', 'BORN_ON', '1989'), ('María Payá Acevedo', 'BORN_ON', '1989')]
('Rosa María Payá Acevedo', 'HAS_ORGANIZATION', 'Miami');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Miami')]
('Rosa María Payá Acevedo', 'LIVES_IN', 'Miami');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Miami')]
('Rosa María Payá Acevedo', 'PARTICIPATES_IN', 'Cuba');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'subject', 'Cuban human rights activists'), ('María Payá Acevedo', 'subject', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban human rights activists'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban Revolution'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban government')]
('The Yser Testament', 'ADDRESSED_TO', 'Armand De Ceuninck');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'Armand De Ceuninck')]
('Armand De Ceuninck', 'PARTICIPATED_IN', 'World War I');False;;True;[('Armand De Ceuninck', 'subject', 'Belgian Army generals of World War I'), ('Armand De Ceuninck', 'subject', 'Belgian people of World War I'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Belgian Army generals of World War I'), ('Armand De Ceuninck', 'wikiPageWikiLink', 'Belgian people of World War I')]
('Flemish Movement', 'HAS_EVENT', 'World War I');False;;False;
('The Yser Testament', 'OCCURS_IN', 'Yser Front');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'Yser Front')]
('Clifton Hurburgh', 'BORN_ON', '15/01/1917');True;[('Clifton Hurburgh', 'BORN_ON', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917')];True;[('Clifton Hurburgh', 'BORN_IN', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917'), ('Clifton Hurburgh', 'BORN_IN', '1917'), ('Clifton Hurburgh', 'BORN_ON', '1917')]
('Clifton Hurburgh', 'DIED_ON', '30/07/2011');True;[('Clifton Hurburgh', 'DIED_ON', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011')];True;[('Clifton Hurburgh', 'DIED_IN', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011'), ('Clifton Hurburgh', 'DIED_IN', '2011'), ('Clifton Hurburgh', 'DIED_ON', '2011')]
('Clifton Hurburgh', 'HAS_SPORT', 'Cricket');False;;True;[('Clifton Hurburgh', 'type', 'cricketer'), ('Clifton Hurburgh', 'subject', 'Australian cricketers'), ('Clifton Hurburgh', 'subject', 'Cricketers from Hobart'), ('Clifton Hurburgh', 'subject', 'Tasmania cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'List of Tasmanian representative cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Cricket'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Australian cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Cricketers from Hobart'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricket team'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'First-class cricket'), ('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'club', 'Tasmania cricket team')]
('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania');True;[('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team')];True;[('Clifton Hurburgh', 'DIED_IN', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'deathPlace', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'BORN_IN', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'birthPlace', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'BORN_IN', 'http://dbpedia.org/resource/Tasmania'), ('Clifton Hurburgh', 'birthPlace', 'http://dbpedia.org/resource/Tasmania'), ('Clifton Hurburgh', 'DIED_IN', 'Tasmania'), ('Clifton Hurburgh', 'deathPlace', 'Tasmania'), ('Clifton Hurburgh', 'subject', 'Tasmania cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'List of Tasmanian representative cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricket team'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricketers'), ('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'club', 'Tasmania cricket team')]
('Wired for Sound', 'RELEASED_IN', '1981');False;;True;[('Wired for Sound (song)', 'OCCURRED_IN', '1981'), ('Wired for Sound (song)', 'OCCURRED_IN', '1981'), ('Wired for Sound (song)', 'OCCURRED_IN', '1981'), ('Wired for Sound (song)', 'OCCURRED_IN', '1981'), ('Wired for Sound (song)', 'OCCURRED_IN', '1981'), ('Wired for Sound', 'type', 'Wikicat1981Albums'), ('Wired for Sound', 'OCCURRED_IN', '1981'), ('Wired for Sound', 'OCCURRED_IN', '1981')]
('Wired for Sound', 'HAS_ARTIST', 'Cliff Richard');True;[('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard')];True;[('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'cover', 'Wired for Sound Cliff Richard single sleeve.jpg'), ('Wired for Sound (song)', 'subject', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard songs'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound (song)', 'wikiPageWikiLink', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'prevTitle', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound (song)', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound (song)', 'artist', 'Cliff Richard'), ('Wired for Sound (song)', 'previousWork', 'A Little in Love (Cliff Richard song)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'subject', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard albums'), ('Wired for Sound', 'wikiPageWikiLink', 'Cliff Richard'), ('Wired for Sound', 'wikiPageWikiLink', 'Love Songs (Cliff Richard album)'), ('Wired for Sound', 'RECORDED_BY', 'Cliff Richard'), ('Wired for Sound', 'artist', 'Cliff Richard'), ('Wired for Sound', 'prevTitle', 'Love Songs (Cliff Richard album)')]
